Weather Central 001d0300 Surface Data TimeStamp=2015.06.19.0800
areid,cityname,lat,lon,rh20cm
101300604,cangwu,23.41,111.24,100
101281404,yunan,23.15,111.32,90
101281903,puning,23.18,116.08,100
101300104,hengxian,22.69,109.26,100
101281004,xuwen,20.20,110.12,60
101310203,lingao,19.90,109.68,80
101310208,qiongzhong,19.04,109.84,50
101310210,tunchang,19.36,110.10,60
101131307,yutian,36.85,81.64,50
101150204,huzhu,36.82,101.95,60
101150404,guide,36.03,101.43,30
101150104,huangzhong,36.49,101.58,90
101150203,minhe,36.33,102.84,40
101161105,hezheng,35.48,103.35,80
101160408,zhenyuan,35.68,107.18,60
101160405,heshui,35.49,108.01,30
101111001,tongchuan,35.08,109.07,60
101180302,huojia,35.27,113.68,80
101080607,linxi,43.63,118.04,100
101060302,dunhua,43.37,128.21,80
101060703,dongliao,42.91,125.08,100
101060703,liaoyuan,42.91,125.08,100
101060305,helong,42.53,129.00,70
101181302,taiqian,35.98,115.86,100
101181303,nanle,36.08,115.17,100
101140201,sajia,29.14,88.53,80
101140201,dingjie,29.14,88.53,80
101140201,angren,29.14,88.53,80
101140201,jilong,29.14,88.53,80
101140201,saga,29.14,88.53,80
101140201,zhongba,29.14,88.53,80
101140201,rikaze,29.14,88.53,80
101150606,qumacai,34.12,95.80,90
101150602,chenduo,33.00,96.96,100
101150602,yushu,33.00,96.96,100
101160207,minxian,34.43,104.02,70
101270114,chongzhou,30.63,103.67,70
101271905,songfan,32.65,103.57,90
101270111,dujiangyan,31.00,103.67,50
101250608,jinshi,29.46,111.65,100
101250608,linli,29.46,111.65,100
101200805,jianli,29.83,112.90,70
101250702,nanxian,29.36,112.40,100
101251002,huarong,29.52,112.57,100
101250602,anxiang,29.39,112.17,100
101271006,gulin,28.03,105.82,100
101260703,jinsha,27.48,106.22,40
101260105,xifeng,27.10,106.73,10
101260602,jiangkou,27.70,108.84,100
101260504,zhenyuan,27.05,108.43,100
101241002,fenyi,27.82,114.68,70
101260708,qianxi,27.02,106.03,100
101260303,zhenning,26.07,105.75,10
101081012,zhalantun,47.99,122.75,80
101050903,zhaozhou,45.42,125.15,90
101131107,shawan,44.36,85.62,90
101131003,nileke,43.87,82.73,40
101131007,zhaosu,43.11,81.16,70
101130805,xinhe,41.55,82.66,60
101130701,alaer,40.55,81.17,30
101131201,hami,42.76,93.49,70
101150102,datong,36.94,101.68,50
101150406,xinghai,35.60,99.96,80
101150407,guinan,35.59,100.74,70
101161104,guanghe,35.48,103.56,50
101160307,jingning,35.52,105.71,80
101160202,tongwei,35.22,105.24,100
101160303,lingtai,35.10,107.59,70
101160407,ningxian,35.51,107.92,70
101060105,yushu,44.85,126.52,90
101060403,lishu,43.31,124.32,100
101080911,taibusiqi,41.88,115.28,90
101030900,jinghai,38.92,116.92,60
101160104,yuzhong,35.85,104.15,60
101160208,anding,35.58,104.62,100
101160208,dingxi,35.58,104.62,100
101110405,dingbian,37.58,107.58,40
101110312,wuqi,36.92,108.17,40
101160404,huachi,36.37,107.91,100
101181106,boai,35.15,113.08,50
101180203,huaxian,35.54,114.50,100
101060104,jiutai,44.27,125.82,80
101080508,naiman,42.85,120.64,100
101031400,jixian,40.04,117.41,90
101271812,shiqu,32.98,98.10,90
101150505,jiuzhi,33.43,101.48,100
101161201,hezuo,34.99,102.90,70
101161202,lintan,34.70,103.35,90
101150502,banma,32.93,100.74,100
101201403,jingshan,31.02,113.12,100
101180605,xinxian,31.74,114.88,90
101271303,lezhi,30.28,105.03,70
101041300,wanzhou,29.01,106.64,90
101040100,chongqing,29.64,106.41,70
101250607,shimen,29.58,111.37,90
101271004,hejiang,28.82,105.83,100
101260609,yanhe,28.44,108.37,100
101251504,guzhang,28.47,109.95,100
101250603,taoyuan,28.93,111.48,100
101250604,hanshou,28.93,111.95,100
101260206,fenggang,27.98,107.73,100
101250303,liling,27.63,113.51,100
101260301,anshun,26.39,106.12,100
101260107,xiuwen,26.86,106.72,90
101250408,leiyang,26.42,112.83,100
101260904,zhenfeng,25.39,105.63,100
101260103,huaxi,26.41,106.50,100
101240704,nankang,25.67,114.76,100
101190802,tongshan,34.28,117.17,90
101190802,xuzhou,34.28,117.17,90
101190807,xinyi,34.33,118.35,80
101191003,ganyu,34.85,119.13,50
101191004,guanyun,34.25,119.23,70
101191305,suyu,33.97,118.22,60
101191305,suqian,33.97,118.22,60
101191304,sihong,33.48,118.22,70
101190905,lianshui,33.77,119.30,70
101180608,gushi,32.17,115.61,90
101221101,chuzhou,32.30,118.31,100
101190502,haian,32.52,120.45,100
101190503,rugao,32.37,120.57,80
101221501,luan,31.74,116.51,100
101221702,dongzhi,30.08,117.01,90
101230807,mingxi,26.40,117.15,100
101300304,luzhai,24.49,109.74,100
101280201,shaoguan,24.42,113.37,100
101300802,guiping,23.40,110.08,100
101280103,conghua,23.33,113.37,100
101281202,zijin,23.38,115.12,100
101280502,chaoyang,23.17,116.35,50
101281402,luoding,22.42,111.37,100
101081004,molidawa,48.48,124.48,70
101081105,zhanlaite,46.72,122.92,90
101081107,tuquan,45.38,121.58,100
101050905,duerbote,46.50,124.25,80
101050108,tonghe,46.58,128.43,80
101131407,fuhai,47.10,87.50,60
101131101,tacheng,46.64,83.21,90
101131603,jinghe,44.62,82.89,50
101131006,xinyuan,43.41,83.18,80
101081003,arongqi,48.13,123.47,100
101130302,paotai,44.69,85.56,80
101130303,mosuowan,45.02,86.10,70
101130406,qitai,43.99,89.61,90
101130807,kuche,41.72,82.97,100
101131503,aketao,39.13,75.93,30
101150803,qilian,38.18,100.25,50
101160502,minqin,38.64,103.07,90
101150103,huangyuan,36.68,101.25,50
101150101,xining,36.73,101.75,50
101161304,pingchuan,36.33,104.11,30
101161304,baiyin,36.33,104.11,30
101080804,wuqianqi,40.73,108.64,50
101080801,linhe,40.73,107.37,40
101080710,wushenqi,38.60,108.83,30
101110410,suide,37.50,110.22,60
101271007,naxi,28.78,105.38,90
101260211,zhengan,28.56,107.44,60
101260212,wuchuan,28.63,107.88,100
101250105,wangcheng,28.20,113.08,100
101250105,mapoling,28.20,113.08,100
101250105,changsha,28.20,113.08,100
101251005,pingjiang,28.71,113.56,100
101260705,dafang,27.15,105.60,40
101260214,huichuan,27.70,107.03,40
101260106,kaiyang,27.06,106.96,30
101260607,yinjiang,28.19,108.60,70
101251211,xupu,27.93,110.60,90
101250902,longhui,27.12,111.00,100
101251411,lengshuitan,26.41,111.74,100
101260306,guanling,25.94,105.60,100
101260905,wangmo,25.18,106.09,80
101260412,libo,25.41,107.88,100
101300505,lingui,25.23,110.19,100
101300508,quanzhou,25.93,111.07,80
101250508,rucheng,25.58,113.68,100
101280207,nanxiong,25.08,114.08,100
101191302,shuyang,34.08,118.78,60
101181410,shenqiu,33.40,115.05,80
101221201,huaibei,33.93,116.75,80
101190902,jinhu,32.98,118.97,100
101190107,pukou,32.10,118.45,100
101190107,jiangpu,32.10,118.45,100
101190603,yizheng,32.30,119.17,100
101191203,taixing,32.17,120.05,100
101191103,jintan,31.72,119.55,90
101190304,jurong,31.97,119.20,100
101190204,xishan,31.62,120.35,100
101190204,wuxi,31.62,120.35,100
101190408,taicang,31.47,121.10,80
101200508,huangmei,30.10,115.93,100
101210201,huzhou,30.87,120.05,100
101210302,jiashan,30.83,120.93,90
101210306,haiyan,30.32,120.54,100
101221007,xiuning,29.79,118.18,100
101240103,nanchangxian,28.53,115.94,100
101210606,xianju,28.87,120.72,100
101210609,hongjia,28.62,121.42,100
101210609,taizhou,28.62,121.42,100
101230802,ninghua,26.23,116.63,80
101300402,xicheng,24.07,108.65,90
101301005,jingxi,23.13,106.41,80
101300108,wuming,23.16,108.28,90
101280803,nanhai,23.02,113.07,60
101280803,gaoming,23.02,113.07,60
101300203,longzhou,22.34,106.86,100
101300902,bobai,22.27,109.98,80
101280102,panyu,23.02,113.23,100
101281701,zhongshan,20.30,113.23,80
101250403,hengdong,27.10,112.95,100
101260707,zhijin,26.68,105.77,100
101250511,guidong,26.07,113.95,100
101260908,ceheng,24.98,105.82,80
101260305,ziyun,25.77,106.08,100
101300509,guanyang,25.49,111.15,100
101250504,yizhang,25.42,112.95,80
101250507,zixing,25.98,113.22,100
101190804,peixian,34.75,116.92,100
101220705,xiaoxian,34.20,116.98,100
101191005,guannan,34.12,119.35,80
101220804,linquan,33.06,115.25,60
101190806,suining,33.93,117.95,70
101190908,huaianqu,33.30,119.08,80
101220801,fuyang,32.88,115.74,80
101180606,huaibin,32.50,115.45,80
101220803,yingshang,32.65,116.24,60
101221104,dingyuan,32.54,117.68,100
101221106,laian,32.46,118.46,100
101221107,tianchang,32.66,119.01,100
101190501,nantong,32.08,120.98,80
101190404,kunshan,31.48,120.98,90
101200507,qichun,30.23,115.43,90
101200603,yangxin,29.85,115.20,100
101230910,jianou,27.05,118.32,100
101230705,shanghang,25.05,116.42,90
101300701,hezhou,24.42,111.51,80
101230605,longhai,24.43,117.83,80
101230606,zhangpu,24.13,117.60,70
101290608,funing,23.65,105.63,90
101280902,guangning,23.38,112.27,100
101280908,gaoyao,23.02,112.27,100
101280908,zhaoqing,23.02,112.27,100
101310204,chengmai,19.67,110.12,100
101310206,changjiang,19.26,109.05,50
101310212,wenchang,19.61,110.75,70
101270407,pingwu,32.42,104.52,90
101270109,pujiang,30.18,103.50,100
101270113,qionglai,30.42,103.48,50
101140407,motuo,29.64,94.36,100
101140407,langxian,29.64,94.36,100
101140407,gongbujiangda,29.64,94.36,100
101140407,linzhi,29.64,94.36,100
101271504,hongya,29.92,103.37,70
101271408,emei,29.60,103.48,90
101291001,zhaotong,27.35,103.72,90
101271107,gaoxian,28.43,104.52,90
101291401,lijiang,26.85,100.22,90
101271606,huili,26.65,102.25,80
101260704,weining,27.07,103.90,100
101290506,tengchong,25.02,98.50,100
101290110,songming,25.33,103.04,100
101290403,luliang,24.98,103.62,80
101291504,yingjiang,24.70,97.95,100
101290504,sidian,24.73,99.18,60
101110911,longxian,34.90,106.83,70
101110203,yongshou,34.68,108.13,40
101180903,mengjin,34.84,112.41,50
101180104,dengfeng,34.47,113.02,30
101161008,huixian,34.28,106.13,70
101180707,zhenping,33.05,112.24,100
101181407,xiangcheng,33.46,114.86,70
101181406,shangshui,33.50,114.56,80
101270903,nanjiang,32.35,106.83,100
101201103,yunxi,33.00,110.42,90
101180710,tanghe,32.70,112.85,70
101181610,zhengyang,32.65,114.38,70
101180601,xinyang,32.23,114.14,80
101270502,nanbu,31.35,106.07,100
101201701,qianjiang,30.42,112.90,100
101200405,yingcheng,30.97,113.57,90
101200407,xiaochang,30.90,113.95,90
101200407,xiaogan,30.90,113.95,90
101201501,tianmen,30.67,113.17,100
101200406,hanchuan,30.65,113.85,100
101200103,huangpi,30.87,114.40,100
101042800,tongliang,29.83,106.00,100
101251102,sangzhi,29.39,110.16,100
101260209,xishui,28.28,106.27,100
101260610,dejiang,28.47,108.16,80
101250701,heshanqu,28.56,112.38,100
101250701,yiyang,28.56,112.38,100
101250102,ningxiang,28.42,112.92,100
101260204,suiyang,27.90,107.18,80
101260608,shiqian,27.57,108.25,100
101260503,shibing,27.02,108.10,100
101251505,fenghuang,27.52,109.21,50
101050110,yanshou,45.26,128.16,100
101051002,qitaihe,45.46,131.01,80
101130405,jimusaer,44.00,89.04,50
101130607,yanqi,42.06,86.61,70
101130803,wensu,41.25,80.18,50
101130806,shaya,41.26,82.75,60
101130602,luntai,41.76,84.25,70
101130912,shule,39.35,76.02,100
101130912,shufu,39.35,76.02,100
101130912,kashi,39.35,76.02,100
101130902,yingjisha,38.99,76.14,50
101131303,cele,36.99,80.81,100
101131301,hetian,37.15,79.89,100
101160803,jinta,40.00,98.54,100
101160801,jiuquan,39.46,98.29,60
101160704,linze,39.12,100.17,50
101160602,yongchang,38.24,101.96,80
101160602,jinchang,38.24,101.96,80
101150802,menyuan,37.38,101.61,80
101150709,wulan,36.93,98.49,20
101150205,hualong,36.10,102.26,50
101160103,yongdeng,36.45,103.15,60
101080802,wuyuan,41.11,108.27,100
101080104,helin,40.40,111.82,40
101180201,anyang,36.05,114.35,40
101160308,kongtong,35.54,106.69,60
101160308,pingliang,35.54,106.69,60
101180301,xinxiang,35.32,113.92,100
101180306,yanjin,35.19,114.19,100
101180308,changyuan,35.26,114.69,100
101060101,changchun,43.90,125.22,80
101080609,wengniute,42.92,119.02,70
101030300,baodi,39.73,117.28,100
101181301,puyang,35.62,115.06,100
101140710,cuoqin,32.51,80.10,200
101140710,geji,32.51,80.10,200
101140710,ritu,32.51,80.10,200
101140710,gaer,32.51,80.10,200
101140710,zhada,32.51,80.10,200
101140710,shiquanhe,32.51,80.10,200
101140710,ali,32.51,80.10,200
101060505,jian,41.13,126.20,90
101181305,fanxian,35.86,115.48,100
101140220,langkazi,28.98,90.40,90
101140220,zhanan,28.98,90.40,90
101140220,gongga,28.98,90.40,90
101140220,renbu,28.98,90.40,90
101272001,deyang,31.15,104.38,40
101272003,guanghan,30.97,104.28,60
101271703,yingjing,29.78,102.85,100
101271404,jiajiang,29.73,103.60,100
101270302,fushun,29.18,104.98,40
101271615,yuexi,28.65,102.52,90
101271612,zhaojue,28.00,102.85,100
101271618,meigu,28.33,103.13,30
101271110,xingwen,28.32,105.23,100
101271608,ningnan,27.07,102.75,70
101290406,shizong,24.80,103.98,100
101110912,chencang,34.37,107.40,40
101110907,fufeng,34.37,107.88,50
101180908,yanshi,34.73,112.79,90
101180402,yanling,34.11,114.16,70
101181402,fugou,34.08,114.41,80
101110806,chenggu,33.17,107.33,80
101181501,luohe,33.60,114.06,90
101272103,qingchuan,32.58,105.23,80
101110701,ankang,32.72,109.03,90
101200207,gucheng,32.27,111.63,100
101180711,dengzhou,32.64,112.22,80
101200208,zaoyang,32.15,112.75,90
101181601,zhumadian,32.94,113.91,80
101272105,cangxi,31.73,105.92,70
101270904,pingchang,31.57,107.10,60
101201406,shashi,30.99,112.21,90
101201406,shayang,30.99,112.21,90
101201406,duodao,30.99,112.21,90
101201406,jingmen,30.99,112.21,90
101270801,guangan,30.47,106.63,90
101042900,bishan,29.58,106.22,100
101041100,qianjiang,29.27,106.98,90
101260611,songtao,28.32,109.18,60
101251003,xiangyin,28.68,112.88,100
101251004,miluo,28.80,113.07,100
101260203,renhuai,27.82,106.39,90
101260202,zunyixian,27.75,106.67,60
101260213,yuqing,27.63,107.64,90
101260603,yuping,27.25,108.92,100
101260601,tongren,27.72,109.18,100
101080605,balinzuoqi,43.98,119.40,90
101080503,kezuozhongqi,44.13,123.28,100
101060102,nongan,44.40,125.16,50
101080501,tongliao,43.60,122.27,40
101060601,baicheng,45.63,122.42,80
101050104,acheng,45.32,126.56,60
101201302,guangshui,31.62,113.82,100
101200503,macheng,31.17,115.02,100
101271302,anyue,30.12,105.35,70
101270804,linshui,30.33,106.93,100
101270803,wusheng,30.35,106.28,100
101042200,dianjiang,30.68,107.78,60
101201002,lichuan,30.27,108.92,100
101200105,jiangxia,30.35,114.32,100
101200106,dongxihu,30.60,114.05,80
101200106,wuhan,30.60,114.05,80
101271202,dongxing,29.62,105.12,100
101271202,neijiang,29.62,105.12,100
101040600,wansheng,28.95,106.93,70
101251103,cili,29.42,111.13,100
101250605,lixian,29.64,111.75,80
101260402,guiding,26.58,107.23,100
101260401,duyun,26.30,107.35,100
101250406,changning,26.42,112.40,100
101300506,xingan,25.62,110.66,100
101280206,renhua,25.07,113.77,100
101181001,shangqiu,34.44,115.67,70
101181007,ningling,34.43,115.26,70
101220702,dangshan,34.45,116.33,70
101181409,luyi,34.01,115.58,50
101181009,yongcheng,33.88,116.42,100
101191303,siyang,33.72,118.68,90
101130407,manasi,44.30,86.24,80
101131001,yining,43.94,81.33,30
101130608,shuo,42.25,86.89,70
101130601,kuerle,41.75,85.93,60
101131504,aheqi,40.91,78.39,30
101130611,tieganlike,40.65,87.70,100
101131306,minfeng,37.05,82.69,70
101160805,guazhou,40.32,95.46,40
101160703,minle,38.60,100.79,70
101150409,gonghe,36.27,100.62,50
101150409,hainan,36.27,100.62,50
101160505,tianzhu,36.19,103.99,40
101160102,gaolan,36.59,104.56,100
101150408,tongde,35.24,100.60,50
101150303,zeku,35.04,101.47,70
101160204,weiyuan,35.08,104.12,20
101160306,zhuanglang,35.22,106.06,100
101160304,chongxin,35.31,107.03,90
101110209,changwu,35.22,107.80,50
101180307,fengqiu,35.02,114.41,100
101180204,neihuang,35.93,114.93,100
101180305,weihui,35.39,114.07,100
101080509,zhalute,44.55,120.90,100
101060402,shuangliao,43.50,123.53,90
101060404,gongzhuling,43.52,124.80,80
101060206,huadian,42.98,126.76,90
101140609,biru,31.47,92.06,100
101140609,baqing,31.47,92.06,100
101140609,nierong,31.47,92.06,100
101140609,naqu,31.47,92.06,100
101150604,zaduo,33.89,95.27,100
101150304,henan,34.73,101.60,80
101161206,maqu,34.00,102.08,90
101272005,mianzhu,31.33,104.20,60
101270107,pixian,30.82,103.88,100
101270102,longquanyi,30.55,104.25,30
101270105,jintang,30.85,104.43,70
101271403,jingyan,29.67,104.07,90
101271613,xide,28.30,102.43,90
101271617,leibo,28.27,103.58,100
101271103,yibinxian,28.70,104.57,60
101271609,puge,27.37,102.55,30
101260702,hezhang,27.07,104.72,90
101290210,eryuan,26.11,99.96,50
101270202,renhe,26.50,101.73,70
101290201,dali,25.71,100.18,90
101290208,weishan,25.27,100.28,60
101291601,jinghong,21.95,100.60,100
101290709,yuanjiang,23.41,101.84,90
101111002,yaozhou,34.93,108.98,60
101111002,yaoxian,34.93,108.98,60
101110506,fuping,34.78,109.18,50
101110501,weinan,34.52,109.48,40
101180106,xinzheng,34.38,113.72,60
101110801,hanzhong,33.07,107.03,80
101181502,linying,33.80,113.93,90
101181604,shangcai,33.28,114.27,70
101201102,zhuxi,32.32,109.68,100
101180708,xichuan,33.11,111.50,60
101270403,yanting,31.22,105.38,80
101270504,pengan,31.03,106.42,50
101041600,chengkou,31.94,108.66,100
101200903,zigui,30.82,110.97,100
101201301,suizhou,31.62,113.34,80
101200402,anlu,31.27,113.68,80
101270703,shehong,30.87,105.38,40
101270702,pengxi,30.77,105.70,90
101042300,liangping,29.29,108.16,90
101201003,jianshi,30.60,109.72,100
101200104,xinzhou,30.83,114.80,100
101042600,dazu,29.70,105.70,90
101041000,changshou,29.87,107.68,70
101043000,fengdu,29.97,106.28,100
101201007,laifeng,29.53,109.42,100
101200702,chibi,29.72,113.88,80
101200701,xianning,29.85,114.37,80
101081109,keyouqianqi,46.09,122.06,100
101081109,wulanhaote,46.09,122.06,100
101080511,bayaertuhushuo,45.06,120.32,100
101130401,changji,44.12,87.33,100
101131004,yiningxian,43.97,81.54,50
101131005,gongliu,43.45,82.23,50
101130502,tuokexun,42.81,88.61,100
101130801,akesu,41.10,80.30,70
101310216,lingshui,18.50,110.03,60
101081005,elunchunqi,50.58,123.73,100
101081006,ewenkeqi,49.13,119.74,50
101050106,yilan,46.17,129.34,60
101060603,daan,45.51,124.26,90
101130402,hutubi,44.37,86.87,80
101130404,fukang,44.18,87.97,60
101131002,chabuchaer,43.83,81.07,70
101130603,weili,41.30,86.27,60
101130909,yuepuhu,39.14,76.70,40
101130904,maigaiti,38.92,77.64,100
101160705,gaotai,39.36,99.80,100
101160706,shandan,38.79,101.09,100
101150708,tianjun,37.30,99.02,60
101150804,haiman,36.91,100.99,60
101150804,haibei,36.91,100.99,60
101150202,ledu,36.48,102.39,40
101150305,tongren,35.52,102.02,40
101150305,huangnan,35.52,102.02,40
101160205,lintao,35.36,103.87,30
101161303,huining,35.67,105.06,40
101080102,tuzuoqi,40.73,111.17,30
101160403,huanxian,36.57,107.30,20
101180304,huixian,35.45,113.59,90
101181201,hebi,35.72,114.32,90
101180202,tangyin,35.92,114.38,100
101250203,xiangxiang,27.76,112.50,100
101260706,nayong,26.46,105.22,100
101260108,qingzhen,26.48,106.37,100
101260508,danzhai,26.20,107.80,100
101250908,wugang,26.73,110.63,100
101250910,shaoyangxian,27.00,111.28,100
101250404,qidong,26.80,112.10,90
101250405,hengyangxian,26.98,112.37,100
101260517,congjiang,25.76,108.92,60
101300306,rongan,25.21,109.40,80
101181006,zhecheng,34.03,115.32,70
101190805,pizhou,34.40,118.02,60
101191002,donghai,34.52,118.73,70
101190702,xiangshui,34.20,119.60,80
101221502,huoqiu,32.37,116.30,90
101190105,luhe,32.37,118.85,80
101190507,qidong,31.78,121.65,100
101180609,shangcheng,31.81,115.40,70
101191104,wujin,31.88,119.98,90
101191104,changzhou,31.88,119.98,90
101200509,wuxue,29.92,115.63,100
101230905,wuyishan,27.77,118.02,100
101230806,jianning,26.83,116.85,100
101230302,gutian,26.58,118.73,100
101230502,anxi,25.07,118.15,90
101301012,tianlin,24.24,106.28,100
101300302,liucheng,24.65,109.24,90
101281303,lianzhou,24.48,112.22,100
101281203,lianping,24.22,114.28,100
101280409,meizhou,24.17,116.07,100
101280409,meixian,24.17,116.07,100
101230603,nanjing,24.52,117.37,90
101281601,dongguan,22.58,113.43,100
101301103,lingshan,22.42,109.30,90
101301302,hepu,21.66,109.19,90
101190904,hongze,33.28,118.88,70
101221102,fengyang,32.86,117.55,100
101190604,gaoyou,32.80,119.45,100
101191202,xinghua,32.90,119.85,80
101191201,taizhou,32.55,120.00,100
101190203,yixing,31.33,119.82,80
101200506,xishui,30.47,115.22,80
101221705,shitai,30.22,117.48,100
101210305,pinghu,30.62,121.08,100
101230803,qingliu,26.18,116.82,100
101230402,xianyou,25.37,118.68,70
101230111,fuqing,25.68,119.33,100
101301211,dahua,24.14,107.24,100
101301211,bama,24.14,107.24,100
101300512,pingle,24.62,110.66,90
101300605,mengshan,24.20,110.52,100
101300703,fuchuan,24.82,111.27,100
101280203,shixing,24.93,114.13,100
101280305,longmen,23.47,114.15,100
101230607,zhaoan,23.77,117.13,50
101300906,xingye,22.65,110.17,90
101300906,yulin,22.65,110.17,90
101282005,xinyi,22.22,110.57,100
101282003,huazhou,21.38,110.37,100
101281804,yangxi,21.75,111.60,80
101281804,yangdong,21.75,111.60,80
101281804,yangjiang,21.75,111.60,80
101310202,dongfang,19.09,108.62,50
101081014,eerguna,50.24,120.17,40
101081103,keyouzhongqi,45.06,121.48,50
101060604,zhenlai,45.85,123.17,100
101131401,aletai,47.74,88.07,30
101131103,emin,46.26,83.93,80
101160302,jingchuan,35.34,107.36,50
101181102,xiuwu,35.24,113.48,70
101080901,xilinhaote,43.95,116.12,80
101060203,yongji,43.68,126.52,90
101060308,hunchun,42.90,130.28,70
101060301,yanji,42.88,129.42,80
101090714,hejian,38.73,116.12,50
101140511,chaya,31.14,97.18,80
101140511,jiangda,31.14,97.18,80
101140511,leiwuqi,31.14,97.18,80
101140511,changdu,31.14,97.18,80
101140511,gongjue,31.14,97.18,80
101271801,ganzi,31.62,100.00,90
101271701,yaan,29.98,103.00,90
101271405,muchuan,28.95,103.90,70
101271104,nanxi,28.85,104.97,40
101290801,chuxiong,24.93,101.57,60
101290606,qiubei,24.05,104.17,100
101291101,lincang,23.88,100.08,100
101181404,huaiyang,33.71,114.88,60
101272104,jiange,32.02,105.47,40
101181607,pingyu,32.98,114.63,100
101270506,xichong,30.98,105.88,100
101270505,yilong,31.53,106.40,100
101041800,wuxi,29.84,106.44,80
101041900,fengjie,29.84,107.07,80
101200404,dawu,31.57,114.12,100
101270501,nanchong,30.78,106.10,50
101270802,yuechi,30.55,106.45,80
101270604,dazhu,30.75,107.18,70
101042500,shizhu,30.08,105.77,90
101200907,dangyang,30.82,111.77,100
101200807,songzi,30.17,111.77,40
101200302,liangzihu,30.37,114.87,100
101200302,ezhou,30.37,114.87,100
101040800,beibei,31.34,109.58,100
101200806,honghu,29.82,113.45,90
101251006,linxiang,29.47,113.45,100
101260207,tongzi,28.13,106.82,100
101271005,xuyong,28.17,105.43,100
101043600,xiushan,28.36,109.02,100
101260205,meitan,27.77,107.47,70
101260605,sinan,27.77,108.20,90
101251212,zhongfang,27.46,109.97,100
101251212,huaihua,27.46,109.97,100
101250802,shuangfeng,27.45,112.17,100
101250402,hengshan,27.22,112.87,100
101260405,fuquan,26.72,107.62,90
101080507,kulun,42.73,121.76,80
101060502,meihekou,42.53,125.66,70
101080613,ningcheng,41.59,119.30,70
101011300,miyun,40.38,116.86,80
101140202,lazi,29.07,87.64,10
101140214,xietongmen,29.68,89.10,30
101140214,nanmulin,29.68,89.10,30
101140308,zedang,29.14,91.46,30
101140308,shannan,29.14,91.46,30
101140204,nielamu,28.15,85.98,200
101150506,madu,34.92,98.20,50
101150503,gande,33.96,99.89,90
101150504,dari,33.76,99.65,100
101160203,longxi,35.00,104.65,90
101270104,wenjiang,30.75,103.87,80
101270404,anxian,31.65,104.42,40
101270406,beichuan,31.65,104.42,50
101272002,zhongjiang,31.03,104.68,60
101271707,lushan,30.15,102.93,100
101271503,pengshan,30.20,103.87,40
101271304,jianyang,30.42,104.53,80
101140403,milin,29.22,94.21,40
101271817,daocheng,29.05,100.30,40
101270301,zigong,29.35,104.77,100
101271109,junlian,28.17,104.50,80
101270203,miyi,26.90,102.12,10
101290501,baoshan,25.25,99.21,80
101290107,shilin,24.75,103.27,90
101110906,fengxiang,34.52,107.38,40
101110104,lantian,34.17,109.32,80
101181706,shanxian,34.41,111.12,70
101181706,sanmenxia,34.41,111.12,70
101180107,zhongmou,34.71,113.97,100
101161002,chengxian,33.76,105.72,60
101161005,kangxian,33.33,105.60,90
101161009,liangdang,33.92,106.29,90
