SolutionID,Title,Providedby,Description,Crop,disease,GrowingStageID,CPPProductSolution,ranking,,本表中solution标注对应农药ID，并且在CPP库中标注防治方法对应农药,,,,,,,,,,,,,,,,,,
,农业防治,,合理布局，连片种植，并能同时移栽。疫区应避免稻-麦或玉米-麦类连作，切断该病毒的周年循环桥梁，减轻的传病率。,水稻,水稻黑条矮缩病,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,清除田边杂草，压低虫源、毒源。,水稻,水稻黑条矮缩病,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,由于水稻黑条矮缩病在土壤缺锌的条件下发病重，疫区应该特别重视施用酸性肥料和增施锌肥，而且将锌肥作底肥，保证锌肥为水稻所利用。,水稻,水稻黑条矮缩病,,0,5,,,,,,,,,,,,,,,,,,,,
,农业防治,,病区水稻制种田除在播种育秧期要严格治虫防病外，在分蘖期、孕穗期要随时观察田间病毒病发生情况，及时拔除销毁病株，尤其是母本病株更要彻底拔除。,水稻,水稻黑条矮缩病,,0,6,,,,,,,,,,,,,,,,,,,,
,农业防治,,水稻分蘖期在防治好灰飞虱的基础上，要多下田观察，争取早发现病苗早拔除、早追肥，加快水稻的生长速度，以抵抗病毒病的发生为害，减轻发病程度，减少产量损失。追肥应以氮肥为主，根据测土结果，配以足够的磷、钾肥和微肥。,水稻,水稻黑条矮缩病,,0,7,,,,,,,,,,,,,,,,,,,,
,化学防治,,水稻黑条矮缩病虽然由种子带病，但田间传播主要依靠灰飞虱，而且水稻苗期最容易发病。因此，田间治虫防病是防治的关键。水稻3～5叶期最易被传而感发病毒病，老病区应做好浸种拌芽，及早防治灰飞虱传毒。,水稻,水稻黑条矮缩病,6~12,1,1,PD20094118,LS20130027,PD20122060,,,,,,,,,,,,,,,,,
,检疫,,严禁病苗传入无病区。病田增施石灰，线虫侵染明显减少，但施用时期十分重要，在水稻分蘖前使用才能收到保护新根减少侵染的效果。,水稻,水稻根结线虫病,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,实行水旱轮作。收割水稻后，种植非寄主植物以减少虫源，减轻发病，这是最经济而有效的措施。发病田改冬季浸水为翻耕晒白或冬种旱作。严重发病田，宜采用水旱轮作，栽种花生、甘薯半年，可以大量减少土壤虫量，效果极显著。,水稻,水稻根结线虫病,,0,1,,,,,,,,,,,,,,,,,,,,
,农业防治,,增施有机肥和在种植前或移植返青后，增施石灰1125～1500kg/公顷，有防病增产效果。旱育秧铲秧移植，减少秧苗带虫数。,水稻,水稻根结线虫病,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,因为成本较高，大田暂还不宜提倡使用杀线虫剂。杀线虫剂毒性都较高，因此，使用时要按高毒农药使用规则操作，注意安全保护。,水稻,水稻根结线虫病,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,切实处理好越冬期间未处理完的稻桩和其他寄主残株，破坏其越冬场所，压低越冬虫源。,水稻,二化螟,,0,3,,,,,,,,,,,,,,,,,,,,
,肥水管理,,施用硅肥后水稻抗性提高，对二化螟有一定预防效果。在老熟幼虫和初蛹期，放干田水，降低二化螟化蛹位置，后灌水15mm浸田，杀蛹效果良好。水稻收获后，将稻桩及时翻入泥下，灌满田水，幼虫死亡率很高。,水稻,二化螟,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,在二化螟、三化螟卵孵始盛期施药1次（50-80毫升/亩），如虫量较大，隔7天再施1次药。大风天或预计一小时内降雨，请勿施药。本品在水稻作物上使用的安全间隔期为7天，每个作物周期的最多使用次数为2次。,水稻,二化螟,9~12,1,1,PD47-87,,,,,,,,,,,,,,,,,,,
,药剂防治,,防治适期一般掌握在卵孵高峰期后5～7天。25％杀虫双，防枯心用200倍液喷雾，防白穗用150～200倍液喷雾。施药期需保持3mm田水3～5天。乐斯本单剂和乐斯本与杀虫双混剂也有很好的防治效果，推荐用量：乐斯本（毒死蜱）450～600毫升/公顷，或乐斯本（毒死蜱）300毫升/公顷加杀虫双2250毫升/公顷，对水750千克喷雾。此外，还可以选喷50％杀螟松乳油1000倍液，或1.8％阿维菌素乳油3000～4000倍液。,水稻,二化螟,9~12,1,2,PD84104-52,PD20085113,PD20084644,PD47-87,PD20086294,PD20085616,PD20086334,PD20093923,PD20120269,PD20082447,PD20097649,,,,,,,,,
,农业防治,,冬闲田冬前翻耕浸田，以减少越冬虫源。免耕田春季灌水淹蛹。掌握在化蛹期(常年在4月下旬)，灌水淹蛹控虫，以压低主要虫源田有效虫口。调整栽播期，一季稻大面积移栽期尽可能调至一代蚁螟盛孵期，这时栽插，能致60％蚁螟死亡。或调整播期使大面积一季中稻在8月15日前齐穗，单季晚稻在8月底破口，以避开三代三化螟卵孵盛期，减轻为害。根据预测预报，在一代化蛹期灌水淹蛹，能致大量蛹死亡，控虫效果十分明显。灌水深度保持在10cm以上，淹水时间要求在1周左右。,水稻,三化螟,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,选用抗品种，如中抗品种有镇稻2号。拔除白穗株。在白穗初现，大量幼虫还在植株上部为害时连根拔除白穗株，既防止幼虫的转株为害，又可减少虫源。齐泥割稻能直接杀死部分幼虫，破坏幼虫的越冬场所，提高越冬死亡率。,水稻,三化螟,,0,5,,,,,,,,,,,,,,,,,,,,
,物理防治,,利用频振灯诱集成虫应掌握在发蛾始盛期开始开灯，诱杀成虫。,水稻,三化螟,,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,在二化螟、三化螟卵孵始盛期施药1次（50-80毫升/亩），如虫量较大，隔7天再施1次药。大风天或预计一小时内降雨，请勿施药。本品在水稻作物上使用的安全间隔期为7天，每个作物周期的最多使用次数为2次。,水稻,三化螟,9~12,1,1,PD47-87,,,,,,,,,,,,,,,,,,,
,药剂防治,,25％杀虫双，防枯心用200倍液喷雾，防白穗用150～200倍液喷雾。施药期需保持3mm田水3～5天。乐斯本单剂和乐斯本与杀虫双混剂也有很好的防治效果，推荐用量乐斯本450～600毫升/公顷，或乐斯本300毫升/公顷加杀虫双2250毫升/公顷，对水750千克喷雾。,水稻,三化螟,9~12,1,2,PD84104-52,PD20085113,PD20084644,PD47-87,PD20086294,PD20085616,,,,,,,,,,,,,,
,农业防治,,因地制宜选用抗虫品种。,水稻,灰飞虱,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,加强田间肥水管理，防止后期贪青徒长，适当烤田，降低田间湿度。,水稻,灰飞虱,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,防治水稻飞虱，于虫害发生盛期施用乐斯本1次（60-80毫升/亩）；或低龄幼（若）虫期施用陶斯仙1～2次（42-85毫升/亩），间隔7天，如虫量较大，隔7天再施1次药；在低龄若虫期施用特福力1次（15-23毫升/亩），施药时应重点对稻株茎叶基部均匀喷雾。高温天气、大风天或预计1小时内降雨，请勿施药。,水稻,灰飞虱,20~22,1,1,PD20084644,PD47-87,LS20130291,,,,,,,,,,,,,,,,,
,药剂防治,,可选用25％优乐得可湿性粉剂2000倍液，20％稻虱净乳油800倍液，或25％扑虱灵可湿性粉剂1000倍液加40％毒死蜱乳油500倍液。,水稻,灰飞虱,20~22,1,2,PD98-89,PD20080798,PD20094724,PD20080654,PD47-87,PD20086294,PD20084644,PD20085616,,,,,,,,,,,,
,农业防治,,冬春期间结合积肥，铲除田边、沟边、塘边杂草，清除田埂地旁的枯枝落叶，特别要做好清除秧田附近的游草及其他禾本科杂草。合理应用栽培技术，培育和移栽壮秧，以缩短受害危险期。,水稻,稻蓟马,,0,3,,,,,,,,,,,,,,,,,,,,
,种子处理,,药剂防治的策略是狠抓秧田，巧抓大田，主防若虫，兼防成虫。在播前3天用10％吡虫啉可湿性粉剂4500克/公顷，加浸种灵和施宝克各450毫升/公顷，对水3000千克浸种60小时后催芽播种，对苗期稻蓟马防效可达95％以上，药效期长达30天左右。,水稻,稻蓟马,1~8,1,1,PD365-2001,PD20040193,PD20030004,PD20080001,,,,,,,,,,,,,,,,
,药剂防治,,幼虫盛发期可喷洒10％吡虫啉可湿性粉剂2500倍液，或50％杀螟松乳油500倍液，或90％敌百虫晶体1500倍液。,水稻,稻蓟马,9~16,1,2,PD365-2001,PD20040193,PD20086334,PD20093923,PD84108-13,PD84108-5,,,,,,,,,,,,,,
,农业防治,,在幼虫结包时，人工摘除虫苞。虫包飘落水面时，在排水处安放竹栅。,水稻,稻螟蛉,,0,3,,,,,,,,,,,,,,,,,,,,
,物理防治,,结合诱杀三化螟等，在成虫盛发期进行灯光诱杀。,水稻,稻螟蛉,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,在2龄幼虫高峰期喷洒25％杀虫双水剂1000倍液，或50％杀螟松乳油1000倍液，或90％晶体敌百虫500倍液。,水稻,稻螟蛉,,1,1,PD84104-52,PD20085113,PD20086334,PD20093923,PD84108-13,PD84108-5,,,,,,,,,,,,,,
,肥水管理,,再生稻、落谷苗、游草是稻瘿蚊的越冬寄主，冬春期间结合积肥彻底铲除消毁田边、沟边、圳边的越冬寄主，冬翻田、冷烂锈水田都要及早冬耕翻犁，并在翌年惊蜇前进行灌水溶田，最大限度地压低虫源基数。施足基肥，早施追肥，使禾苗早生快发，减少无效分蘖，及时排水晒田，加强栽培管理，加速幼穗分化形成，可以抑制稻瘿蚊的入侵。,水稻,稻瘿蚊,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,耕作制度调整以避过为害适期。调节水稻播插期以错开稻瘿蚊的盛发期，可以减低其为害。,水稻,稻瘿蚊,,0,5,,,,,,,,,,,,,,,,,,,,
,生物防治,,稻瘿蚊的主要天敌是寄生蜂，其中以黄柄黑蜂为优势种。采取湿播早育，培育老壮秧，使秧田小气候干燥，改善生态环境，以利寄生蜂活动。,水稻,稻瘿蚊,,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,在央针期和移栽后5～7天各施药1次（250-300毫升/亩），将药液使用剂量用水稀释配成母液再与每亩15～20公斤细沙土拌匀撤施于田间。大风天或预计一小时内降雨，请勿施药。,水稻,稻瘿蚊,,1,1,PD47-87,,,,,,,,,,,,,,,,,,,
,药剂防治,,药剂防治主要是中稻和双晚稻秧田防治，以压低晚稻大田的虫源。以混合农药毒土法较为有效，使用时分别拌匀泥粉或细沙撒施或做成药团塞于水稻根部。施药前稻田必须灌好水，药后保持3mm水层3～5天，以提高药效。可选用20％三唑磷乳油3750毫升/公顷，或20％喹硫磷乳油3750毫升/公顷。,水稻,稻瘿蚊,,1,2,PD20040491,PD85158,,,,,,,,,,,,,,,,,,
